Hue0	Hue1	Hue2	Hue3	Hue4	Hue5	Hue6	Hue7	Hue8	Hue9	Hue10	Hue11	Hue12	Hue13	Hue14	Hue15	Length0	Length1	Length2	Length3	Length4	Length5	Length6	Length7	Length8	Length9	Angle0	Angle1	Angle2	Angle3	Angle4	Angle5	Angle6	Angle7	Angle8	Angle9	type
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	s1 s2 s3
																																				class
0.019	0.031	0.012	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.636	0.979	1.843	2.104	0.799	1.207	0.946	0.718	0.343	0.424	0.000	0.000	0.002	0.011	0.008	0.003	0.002	0.001	0.000	0.000	s2
0.021	0.036	0.005	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.576	0.876	1.489	1.453	1.381	1.705	0.888	0.852	0.612	0.168	0.000	0.000	0.002	0.004	0.008	0.007	0.004	0.002	0.000	0.000	s2
0.017	0.045	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.862	2.424	2.926	2.118	0.646	0.251	0.144	0.251	0.197	0.180	0.000	0.000	0.003	0.001	0.000	0.004	0.017	0.002	0.000	0.000	s2
0.024	0.029	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.485	0.821	1.238	1.427	1.225	1.494	1.090	1.009	0.781	0.431	0.000	0.000	0.002	0.004	0.008	0.007	0.004	0.002	0.000	0.000	s2
0.014	0.048	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.636	1.892	1.955	1.844	1.367	0.779	0.366	0.588	0.382	0.191	0.000	0.000	0.003	0.005	0.007	0.005	0.005	0.003	0.000	0.000	s2
0.017	0.041	0.004	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.005	1.044	1.418	1.817	1.237	1.534	1.057	0.425	0.361	0.103	0.000	0.000	0.001	0.004	0.010	0.009	0.002	0.001	0.000	0.000	s2
0.015	0.044	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.875	1.472	1.790	1.233	1.459	1.459	0.743	0.504	0.371	0.093	0.000	0.000	0.001	0.003	0.009	0.009	0.004	0.001	0.000	0.000	s2
0.020	0.035	0.007	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.288	1.033	1.673	2.144	1.176	1.516	0.732	0.745	0.444	0.248	0.000	0.000	0.003	0.005	0.006	0.006	0.005	0.003	0.000	0.000	s2
0.005	0.034	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	1.274	1.651	2.052	2.217	1.250	0.542	0.377	0.377	0.189	0.071	0.000	0.000	0.005	0.006	0.003	0.005	0.004	0.004	0.000	0.000	s3
0.006	0.054	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	1.201	2.193	2.324	1.436	1.279	0.731	0.574	0.157	0.052	0.052	0.000	0.000	0.010	0.004	0.002	0.002	0.003	0.006	0.000	0.000	s3
0.006	0.038	0.018	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.830	1.951	2.646	1.614	0.874	0.830	0.740	0.336	0.135	0.045	0.000	0.000	0.006	0.006	0.003	0.003	0.005	0.004	0.000	0.000	s3
0.007	0.044	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.710	1.548	2.172	1.591	1.828	0.839	0.387	0.301	0.430	0.194	0.000	0.000	0.006	0.004	0.002	0.002	0.004	0.009	0.000	0.000	s3
0.007	0.052	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.502	1.056	2.113	1.901	1.221	0.751	1.150	0.258	0.000	0.047	0.000	0.000	0.011	0.003	0.002	0.001	0.004	0.007	0.000	0.000	s3
0.005	0.054	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.328	1.552	1.582	1.821	0.985	0.955	0.537	0.119	0.060	0.060	0.000	0.000	0.006	0.002	0.001	0.001	0.002	0.016	0.000	0.000	s3
0.006	0.052	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.636	1.980	1.663	1.785	1.198	0.733	1.174	0.391	0.367	0.073	0.000	0.000	0.007	0.010	0.002	0.002	0.003	0.004	0.000	0.000	s3
0.007	0.055	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.756	1.145	1.425	2.010	1.349	1.298	0.662	0.356	0.000	0.000	0.000	0.000	0.011	0.004	0.001	0.001	0.004	0.005	0.000	0.000	s3
